                  epoch,         train/box_loss,        train/pose_loss,        train/kobj_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),   metrics/precision(P),      metrics/recall(P),       metrics/mAP50(P),    metrics/mAP50-95(P),           val/box_loss,          val/pose_loss,          val/kobj_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                     70,                0.96438,                 5.4283,                0.29558,                0.85835,                 1.3553,                0.92938,                0.77673,                0.88195,                 0.5708,                0.38539,                0.25524,                0.18202,                0.03612,                 1.3469,                 5.8658,                0.10821,                 0.8656,                 1.8477,             0.00052827,             0.00052827,             0.00052827
                     71,                0.98217,                 5.5012,                0.30545,                0.87693,                 1.3316,                0.81983,                0.84313,                0.88464,                0.57209,                0.41205,                0.26537,                0.20288,                0.04293,                 1.3399,                 5.7877,                0.13855,                0.84972,                 1.8252,             0.00051177,             0.00051177,             0.00051177
                     72,                0.95298,                 5.4447,                0.31048,                 0.8583,                   1.33,                0.80215,                0.82529,                0.88916,                0.57461,                0.41677,                0.28322,                0.22419,                0.04515,                  1.316,                 5.7924,                0.16876,                0.91575,                  1.803,             0.00049527,             0.00049527,             0.00049527
                     73,                0.94775,                 5.3379,                0.28881,                 0.8153,                 1.3082,                0.81346,                0.81643,                0.88483,                0.58377,                0.39438,                0.26049,                0.19348,                0.03831,                 1.3089,                 5.8275,                0.17365,                0.91046,                 1.8172,             0.00047876,             0.00047876,             0.00047876
                     74,                0.96171,                 5.3763,                 0.3018,                0.83339,                  1.326,                0.85467,                0.78616,                0.88279,                 0.5811,                0.41183,                0.27797,                0.21218,                0.03996,                 1.3225,                 5.7846,                0.14504,                0.90505,                 1.8391,             0.00046226,             0.00046226,             0.00046226
                     75,                0.93863,                  5.288,                0.31125,                0.78203,                 1.3137,                 0.8941,                0.82255,                0.89907,                0.57881,                0.32182,                0.27185,                0.16991,                0.03895,                 1.3091,                 5.7048,                0.11453,                0.88304,                 1.8377,             0.00044576,             0.00044576,             0.00044576
                     76,                0.96208,                 5.2765,                0.30231,                0.82493,                 1.3271,                0.93779,                0.77878,                0.90109,                0.56669,                0.31203,                0.25481,                0.12785,                0.02511,                 1.3463,                 5.8086,                0.10538,                0.86508,                  1.858,             0.00042925,             0.00042925,             0.00042925
                     77,                0.94961,                 5.1021,                0.30078,                0.78493,                 1.3119,                0.88302,                 0.7809,                0.89447,                0.57237,                0.26697,                0.24738,                0.11985,                0.02707,                 1.3517,                 5.8166,                0.11509,                0.87734,                 1.8523,             0.00041275,             0.00041275,             0.00041275
                     78,                0.93282,                 5.4694,                0.31154,                0.79505,                 1.3177,                0.85778,                0.82626,                0.88756,                0.56503,                0.25881,                0.25874,                0.13193,                0.03176,                  1.358,                 5.7562,                0.11221,                0.86235,                 1.8395,             0.00039625,             0.00039625,             0.00039625
                     79,                0.92111,                  5.331,                0.28981,                0.78652,                 1.3029,                0.81523,                 0.8574,                0.89123,                0.57649,                0.27388,                0.25874,                0.14222,                0.03279,                 1.2902,                 5.7579,                0.11199,                0.85223,                  1.792,             0.00037974,             0.00037974,             0.00037974
                     80,                0.95726,                 5.2328,                0.29144,                0.83081,                 1.3319,                0.88271,                0.79201,                0.88734,                0.57592,                0.33457,                 0.2299,                0.16454,                0.03814,                 1.3092,                 5.7134,                0.13092,                0.88205,                 1.8091,             0.00036324,             0.00036324,             0.00036324
                     81,                0.90982,                  5.014,                0.29245,                0.77769,                 1.2998,                0.89804,                0.78054,                0.88678,                0.59226,                0.29999,                0.26928,                0.15903,                 0.0397,                 1.3036,                 5.7189,                0.13971,                0.84872,                 1.8027,             0.00034674,             0.00034674,             0.00034674
                     82,                0.92626,                 5.1103,                0.27627,                0.79373,                 1.2838,                0.89238,                0.83566,                0.90107,                0.57867,                0.31387,                0.28755,                0.17547,                0.04326,                 1.3133,                 5.7036,                0.13781,                0.83201,                 1.8135,             0.00033023,             0.00033023,             0.00033023
                     83,                0.94844,                 5.0898,                0.30231,                0.82359,                 1.3123,                 0.9023,                0.83566,                0.90368,                0.59836,                0.33189,                0.29283,                0.18884,                0.04449,                 1.2734,                 5.7524,                0.15555,                0.81845,                 1.7826,             0.00031373,             0.00031373,             0.00031373
                     84,                0.91515,                 5.0927,                0.27983,                0.76952,                 1.2901,                0.88978,                0.83166,                0.90382,                0.58561,                0.37907,                0.35927,                0.25726,                 0.0547,                 1.3173,                  5.648,                0.17591,                0.86094,                 1.7996,             0.00029723,             0.00029723,             0.00029723
                     85,                0.87072,                 5.1798,                0.30639,                0.72963,                 1.2699,                0.89196,                0.84003,                0.90595,                0.57927,                0.37157,                 0.3007,                0.20043,                0.04694,                 1.2963,                 5.6698,                0.12913,                0.85541,                 1.7629,             0.00028072,             0.00028072,             0.00028072
                     86,                0.89148,                 4.9277,                0.31645,                0.76902,                 1.3024,                0.86774,                0.83795,                0.88543,                0.57515,                0.39965,                0.31381,                0.21713,                0.05335,                 1.3087,                 5.6278,                  0.124,                0.88173,                 1.7682,             0.00026422,             0.00026422,             0.00026422
                     87,                0.89362,                 5.1729,                0.29383,                0.77629,                 1.2841,                0.93179,                0.80541,                0.90235,                0.57863,                0.36974,                0.34441,                0.23311,                0.05694,                 1.3023,                 5.5965,                0.14743,                0.83718,                 1.7841,             0.00024772,             0.00024772,             0.00024772
                     88,                0.88613,                 5.0697,                0.30048,                0.75756,                 1.2723,                0.91861,                0.78234,                0.90412,                0.59041,                0.39059,                0.33304,                0.23143,                0.05894,                 1.2758,                 5.5429,                0.15074,                0.82336,                 1.7847,             0.00023121,             0.00023121,             0.00023121
                     89,                0.87558,                 5.1285,                0.29795,                 0.7433,                  1.264,                0.86119,                0.84261,                0.89765,                0.58588,                0.44466,                0.34422,                0.25698,                0.05979,                  1.277,                 5.5367,                0.14567,                0.82103,                 1.7977,             0.00021471,             0.00021471,             0.00021471
                     90,                 0.8543,                 5.0672,                0.29959,                0.75429,                 1.2569,                  0.845,                0.83352,                0.89127,                 0.5779,                 0.3829,                0.34441,                0.22526,                0.05167,                 1.2775,                 5.6094,                0.13239,                0.85224,                 1.7776,             0.00019821,             0.00019821,             0.00019821
                     91,                0.75893,                 4.6464,                0.15357,                0.59876,                  1.291,                0.87564,                0.83031,                0.88054,                 0.5443,                0.36684,                0.34615,                0.20407,                0.03952,                 1.3983,                  5.569,                0.10727,                0.91355,                 1.9015,              0.0001817,              0.0001817,              0.0001817
                     92,                0.72298,                 4.5904,                0.13063,                0.53174,                 1.2248,                0.84797,                 0.8545,                0.87337,                0.52836,                0.33356,                0.30682,                0.14921,                0.02958,                 1.3732,                 5.6282,                0.08745,                0.91076,                 1.8813,              0.0001652,              0.0001652,              0.0001652
